% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.012711174e+03 +1.012711174e+03 +1.115321174e+03 +1.026100000e+02 -1.5850e+00 -4.7644e+00 +6.4072e-01 -4.4134e+00 -4.3930e+00 -1.4224e+00 +2.0340e+00 -3.5100e+00 +3.5868e+00 +3.7572e+00 +3.1030e+00 -1.1360e+00 -2.7376e+00 -7.9341e-01 +4.5955e+00 +4.7642e+00 -3.9812e+00 +1.7539e+00 +2.1980e+00 +3.8734e+00
391 +4.127183447e+02 +4.127183447e+02 +5.153283447e+02 +1.026100000e+02 +2.1752e+00 +4.6359e+00 -2.4512e+00 +3.8148e+00 +3.5744e+00 -2.1994e+00 -2.1027e+00 -1.7868e+00 -2.4003e+00 +2.9475e+00 -1.4102e+00 -1.8096e+00 +2.4182e+00 -1.2530e-01 -2.3507e-01 -1.7059e+00 -2.8380e+00 -1.6286e-01 +2.9702e+00 -5.3500e-01
584 +3.596664354e+02 +3.596664354e+02 +4.622764354e+02 +1.026100000e+02 -9.5567e-01 +4.6359e+00 -2.4512e+00 +2.6870e+00 -3.1065e-01 +2.7294e+00 -2.0664e+00 -1.7868e+00 -2.4003e+00 +2.9475e+00 -1.4102e+00 -1.8096e+00 +2.4182e+00 -1.2530e-01 -2.3507e-01 -1.3410e+00 -4.0896e+00 +7.5494e-01 +9.7016e-01 +2.1966e-01
1345 +2.374945354e+02 +2.374945354e+02 +3.401045354e+02 +1.026100000e+02 +1.8007e+00 +8.2690e-01 -1.5046e+00 +2.3146e+00 -1.7154e+00 +2.9382e-01 -2.1421e+00 -1.7868e+00 -2.4508e+00 +2.9475e+00 -1.6829e+00 -1.8096e+00 -1.5810e+00 -1.2530e-01 -2.3507e-01 -1.5816e+00 -2.8380e+00 -1.6286e-01 +2.9702e+00 +1.9012e+00
2490 +1.540738061e+02 +1.540738061e+02 +2.566838061e+02 +1.026100000e+02 +1.8007e+00 +8.2690e-01 -1.5046e+00 +2.3708e+00 -1.7154e+00 +2.9382e-01 -2.1421e+00 -1.8253e+00 -2.4191e+00 +2.9475e+00 -1.6829e+00 -1.8096e+00 -1.5810e+00 -1.2530e-01 -2.3507e-01 -1.5816e+00 -2.8380e+00 -1.6286e-01 +2.9702e+00 +1.1206e+00
51552 +9.999971687e+01 +9.999971687e+01 +2.026097169e+02 +1.026100000e+02 +1.7613e+00 +8.2533e-01 -1.5099e+00 +2.3708e+00 -1.7018e+00 +2.9382e-01 -2.1449e+00 -1.8253e+00 -2.4216e+00 +3.0037e+00 -1.7021e+00 -1.8096e+00 -1.6006e+00 -1.3350e-01 -2.3507e-01 -1.5816e+00 -2.8124e+00 -1.4662e-01 +2.9702e+00 +1.1267e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.025226371e+03 +1.025226371e+03 +1.118526371e+03 +9.330000000e+01 -4.3122e+00 +2.9947e+00 +8.3980e-01 +4.8841e+00 +4.8687e+00 +3.9659e+00 -4.3727e+00 +3.7966e+00 -2.9937e+00 -4.5408e+00 -1.2596e+00 +4.0789e+00 +3.9100e+00 +3.6473e+00 -3.5484e+00 +2.6864e+00 -1.6992e+00 +2.8730e+00 +6.3690e-01 +4.5432e+00
393 +4.397339599e+02 +4.397339599e+02 +5.330339599e+02 +9.330000000e+01 +2.2906e+00 -2.7631e+00 -4.6320e+00 -1.3538e-01 +4.3793e-01 +2.7628e+00 -4.1425e+00 +3.3268e+00 -1.5830e+00 -1.8965e+00 +4.2136e+00 +2.1206e+00 +6.4283e-01 +1.0121e+00 -7.3125e-02 +8.1435e-01 +8.9930e-01 +2.5241e+00 -2.4812e+00 -4.6924e+00
591 +3.140849837e+02 +3.140849837e+02 +4.073849837e+02 +9.330000000e+01 +3.0748e+00 -3.9665e+00 -7.5724e-01 +1.3427e-02 -1.0864e+00 +1.6220e+00 -1.0277e+00 +2.8299e+00 -2.6323e-01 +2.7870e-01 +4.2136e+00 +2.1206e+00 +6.4283e-01 +1.0121e+00 -7.3125e-02 +8.1435e-01 +8.9930e-01 +2.5241e+00 -2.4812e+00 -2.5209e+00
