% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.213657553e+03 +1.213657553e+03 +7.515675529e+02 -4.620900000e+02 +1.1235e+00 +2.9568e+00 -3.1717e+00 -4.7362e+00 -2.9015e-01 +3.4964e+00 -2.8865e+00 +4.4714e-01 +7.9794e-01 +4.4022e+00 +1.2759e+00 -4.2767e+00 -3.3715e+00 +6.3296e-01 +2.5026e+00 -2.5011e+00 -2.3087e+00 +4.8234e+00 -4.5646e-01 +4.3482e+00
392 +4.749791484e+02 +4.749791484e+02 +1.288914838e+01 -4.620900000e+02 +4.6647e+00 +4.9910e+00 +3.2081e+00 +7.0358e-01 +1.3936e+00 -2.4403e+00 -3.1643e+00 +2.3564e+00 -2.8294e+00 +7.1744e-01 -3.7283e+00 -2.9357e+00 -5.6806e-01 -3.9340e+00 -6.4981e-01 -2.0484e+00 +2.0952e+00 +2.5788e+00 -2.4811e+00 +2.1328e+00
584 +3.868659571e+02 +3.868659571e+02 -7.522404295e+01 -4.620900000e+02 +2.4513e+00 -1.6970e-01 +3.4066e-02 -4.0797e+00 +1.2970e+00 +2.1224e+00 +4.6437e-02 +4.7035e+00 +1.4774e-01 -1.7972e-01 -1.0510e+00 -1.8890e+00 -2.6135e+00 -3.4951e+00 +3.4127e-01 -4.0719e+00 -4.5162e-01 +1.4047e+00 -1.8332e+00 +1.8075e+00
1355 +2.250868344e+02 +2.250868344e+02 -2.370031656e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +3.2081e+00 +3.0217e+00 +4.9703e+00 +1.3515e+00 +4.8243e+00 +1.2253e+00 +2.2023e+00 +7.1744e-01 -3.7283e+00 -2.9357e+00 -5.6806e-01 -3.9340e+00 -6.4981e-01 -4.0719e+00 -4.5162e-01 +2.6704e+00 -2.4811e+00 +2.1328e+00
1928 +1.536984464e+02 +1.536984464e+02 -3.083915536e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +3.2081e+00 +7.0358e-01 +1.3936e+00 +3.0815e+00 +1.0228e+00 +1.2253e+00 +2.4915e+00 +7.1744e-01 -3.7976e+00 -3.2130e+00 -5.6806e-01 -3.4951e+00 +3.4127e-01 -4.0719e+00 -4.5162e-01 +3.9931e+00 -2.4023e+00 +1.8075e+00
3100 +9.053038470e+01 +9.053038470e+01 -3.715596153e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +3.2081e+00 +7.0358e-01 +1.3936e+00 +1.3515e+00 +4.1351e+00 +1.7958e+00 +2.4915e+00 +7.1744e-01 -3.7976e+00 -3.2258e+00 -5.6806e-01 -3.4951e+00 +3.4127e-01 -3.9356e+00 -2.5514e-01 +2.5788e+00 -2.4023e+00 +1.8075e+00
4245 +5.870819613e+01 +5.870819613e+01 -4.033818039e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +2.2542e+00 +7.0358e-01 +1.3936e+00 +1.3515e+00 +3.8949e+00 +1.7958e+00 +2.4915e+00 +1.0032e-01 -3.7976e+00 -3.8113e+00 -6.4251e-01 -3.4951e+00 -5.0768e-01 -3.9356e+00 -3.0266e-01 +2.5788e+00 -2.4023e+00 +1.8291e+00
5979 +3.792710352e+01 +3.792710352e+01 -4.241628965e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +2.2542e+00 +7.0358e-01 +1.3936e+00 +1.3515e+00 +3.2997e+00 +1.8963e+00 +2.4915e+00 +1.0032e-01 -3.3767e+00 -3.8113e+00 -6.4251e-01 -2.9826e+00 -9.6573e-01 -3.9356e+00 -3.0266e-01 +2.5788e+00 -2.8274e+00 +1.8075e+00
8706 +2.503437610e+01 +2.503437610e+01 -4.370556239e+02 -4.620900000e+02 -3.2860e-01 +4.9910e+00 +2.2542e+00 +7.0358e-01 +1.4910e+00 +2.1637e+00 +3.2997e+00 +2.6282e+00 +1.7669e+00 +1.0032e-01 -2.7971e+00 -3.8113e+00 -6.4251e-01 -2.9826e+00 -1.3466e+00 -3.9356e+00 +1.0109e-01 +2.9698e+00 -2.8274e+00 +1.8075e+00
19214 +1.518264683e+01 +1.518264683e+01 -4.469073532e+02 -4.620900000e+02 -2.3213e+00 +2.2771e+00 +1.2659e+00 +7.1881e-01 +2.2527e+00 +2.1442e+00 +1.7887e+00 +3.2224e+00 +2.3898e+00 +2.2150e-02 -3.3108e+00 -3.2733e+00 -1.4886e-01 -2.4696e+00 -1.4065e+00 -3.8944e+00 -7.1202e-01 +3.3744e+00 -2.4518e+00 +1.8380e+00
