% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.118011723e+02 +4.118011723e+02 +4.025911723e+02 +4.025911723e+02 +1.5801e+00 +1.5572e-01 +8.3316e-01 +6.0002e-01 -8.9127e-01 -3.0673e-01 +2.6233e+00 +4.6208e+00 -1.8665e+00 +3.7817e+00 -3.1642e+00 +3.4900e+00 +1.9817e+00 -7.9463e-01 -3.0931e+00 +2.5484e+00 +1.9766e+00 -3.2783e-01 +6.6864e-01 -2.5599e+00
2 +3.617732849e+02 +3.617732849e+02 +3.525632849e+02 +3.525632849e+02 +1.0472e+00 +2.6094e+00 +2.0032e+00 +3.7237e+00 +3.2011e+00 -1.9056e+00 +2.6863e+00 +1.4211e+00 -2.3034e+00 +3.4486e+00 +9.3193e-01 +3.2587e+00 +4.4025e+00 +4.3833e+00 +2.5608e+00 -1.3603e+00 +3.1071e+00 -3.0205e-01 -6.3253e-01 -2.0308e-01
300 +2.501540888e+02 +2.501540888e+02 +2.409440888e+02 +2.409440888e+02 +3.7867e+00 +4.4508e+00 +2.0802e+00 -3.3099e+00 -1.6466e+00 -4.8144e+00 -1.4851e+00 +1.2350e+00 +3.9571e+00 +8.5393e-02 -3.2689e+00 +2.5225e+00 +2.4013e+00 -3.6109e+00 -4.9985e+00 -3.0473e+00 +4.7180e+00 +2.9184e+00 -1.4097e+00 +3.0110e+00
10088 +1.480106953e+02 +1.480106953e+02 +1.388006953e+02 +1.388006953e+02 +1.4923e+00 +3.6318e+00 +3.0953e+00 +2.1166e+00 +3.9344e+00 +3.9120e+00 +2.4848e+00 -6.9562e-01 +2.7343e+00 +1.9244e-02 -4.4283e+00 -3.2696e+00 +4.1995e+00 +4.3538e+00 -4.8477e+00 +1.4804e+00 +4.7148e+00 +4.6260e+00 -3.5358e+00 +4.3202e+00
22573 +9.777979301e+01 +9.777979301e+01 +8.856979301e+01 +8.856979301e+01 +1.1574e+00 +3.2186e+00 +3.1032e+00 +5.9442e-01 -4.3871e+00 +4.7880e+00 +4.9338e+00 +4.7154e+00 +1.7826e+00 -3.7695e+00 -3.7013e-01 -3.6424e+00 +4.9608e+00 +4.1249e+00 -3.8633e+00 -4.7657e+00 +3.3877e+00 +4.1717e+00 -3.5510e+00 +4.4450e+00
35401 +6.138268344e+01 +6.138268344e+01 +5.217268344e+01 +5.217268344e+01 +9.8282e-01 +3.2186e+00 +3.1032e+00 +5.9442e-01 -4.3871e+00 +4.7978e+00 +4.9338e+00 +4.7154e+00 +2.8059e+00 -4.3402e+00 -3.6508e+00 -4.5391e+00 +4.4530e+00 +4.4911e+00 -4.6523e+00 -3.7431e+00 +4.0564e+00 +4.8356e+00 -4.1305e+00 +4.9589e+00
45529 +3.634523180e+01 +3.634523180e+01 +2.713523180e+01 +2.713523180e+01 -9.1646e-03 +3.2504e+00 +3.3235e+00 +4.3848e+00 -4.5198e+00 +4.7880e+00 +4.9338e+00 +4.7154e+00 +4.9363e+00 -4.0220e+00 -4.5562e+00 -4.0887e+00 +4.9184e+00 +4.9588e+00 -4.9950e+00 -4.7837e+00 +4.8155e+00 +4.0214e+00 -4.9829e+00 +4.4678e+00
61372 +2.440501958e+01 +2.440501958e+01 +1.519501958e+01 +1.519501958e+01 +1.1378e+00 +3.2180e+00 +3.3235e+00 +4.3848e+00 -4.5198e+00 +4.7880e+00 +4.9338e+00 +4.7154e+00 +4.9363e+00 -4.0220e+00 -4.5562e+00 -4.0884e+00 +4.9184e+00 +4.9588e+00 -4.9950e+00 -4.7837e+00 +4.9825e+00 +4.8635e+00 -4.7735e+00 +4.9595e+00
77818 +1.564413770e+01 +1.564413770e+01 +6.434137701e+00 +6.434137701e+00 +3.9676e+00 +3.8209e+00 +4.0982e+00 +4.3485e+00 -4.5197e+00 +4.7880e+00 +4.9338e+00 +4.7154e+00 +4.8558e+00 -4.9851e+00 -4.9606e+00 -4.5226e+00 +4.9841e+00 +4.5626e+00 -4.9611e+00 -4.8211e+00 +4.9825e+00 +4.8635e+00 -4.7735e+00 +4.9839e+00
85764 +9.946576058e+00 +9.946576058e+00 +7.365760577e-01 +7.365760577e-01 +4.7630e+00 +3.2504e+00 +4.5735e+00 +4.3848e+00 -4.5198e+00 +4.7880e+00 +4.9338e+00 +4.7251e+00 +4.9363e+00 -4.9851e+00 -4.6644e+00 -4.9346e+00 +4.9184e+00 +4.9588e+00 -4.8475e+00 -4.9878e+00 +4.9250e+00 +4.9690e+00 -4.9835e+00 +4.9595e+00
108200 +5.864718359e+00 +5.864718359e+00 -3.345281641e+00 -3.345281641e+00 +3.9676e+00 +4.4983e+00 +4.8860e+00 +4.3848e+00 -4.4807e+00 +4.9443e+00 +4.9337e+00 +4.7251e+00 +4.9363e+00 -4.9845e+00 -4.9232e+00 -4.9346e+00 +4.9838e+00 +4.9978e+00 -4.9932e+00 -4.9878e+00 +4.9826e+00 +4.9789e+00 -4.9829e+00 +4.9838e+00
131267 +3.894485476e+00 +3.894485476e+00 -5.315514524e+00 -5.315514524e+00 +4.9896e+00 +4.5004e+00 +4.8860e+00 +4.5746e+00 -4.9688e+00 +4.9443e+00 +4.9362e+00 +4.7935e+00 +4.9363e+00 -4.9851e+00 -4.9410e+00 -4.9346e+00 +4.9184e+00 +4.9588e+00 -4.9950e+00 -4.9878e+00 +4.9825e+00 +4.9918e+00 -4.9677e+00 +4.9985e+00
148867 +2.291264652e+00 +2.291264652e+00 -6.918735348e+00 -6.918735348e+00 +4.9896e+00 +4.9513e+00 +4.9441e+00 +4.6625e+00 -4.8397e+00 +4.9833e+00 +4.9728e+00 +4.9595e+00 +4.9363e+00 -4.9851e+00 -4.9606e+00 -4.9346e+00 +4.9838e+00 +4.9978e+00 -4.9932e+00 -4.9878e+00 +4.9823e+00 +4.9984e+00 -4.9835e+00 +4.9839e+00
164593 +1.554433492e+00 +1.554433492e+00 -7.655566508e+00 -7.655566508e+00 +4.9896e+00 +4.9911e+00 +4.9439e+00 +4.9735e+00 -4.9298e+00 +4.9835e+00 +4.9338e+00 +4.9595e+00 +4.9363e+00 -4.9851e+00 -4.9606e+00 -4.9346e+00 +4.9936e+00 +4.9979e+00 -4.9999e+00 -4.9878e+00 +4.9826e+00 +4.9984e+00 -4.9836e+00 +4.9937e+00
191265 +9.346681262e-01 +9.346681262e-01 -8.275331874e+00 -8.275331874e+00 +4.9896e+00 +4.9911e+00 +4.9439e+00 +4.9735e+00 -4.9692e+00 +4.9833e+00 +4.9728e+00 +4.9595e+00 +4.9754e+00 -4.9824e+00 -4.9606e+00 -4.9736e+00 +4.9838e+00 +4.9978e+00 -4.9999e+00 -4.9976e+00 +4.9968e+00 +4.9995e+00 -4.9899e+00 +4.9987e+00
216004 +5.605096985e-01 +5.605096985e-01 -8.649490301e+00 -8.649490301e+00 +4.9896e+00 +4.9911e+00 +4.9439e+00 +4.9735e+00 -4.9692e+00 +4.9931e+00 +4.9728e+00 +4.9986e+00 +4.9754e+00 -4.9845e+00 -4.9958e+00 -4.9931e+00 +4.9887e+00 +4.9997e+00 -5.0000e+00 -4.9989e+00 +4.9968e+00 +4.9995e+00 -4.9933e+00 +4.9985e+00
235376 +3.923355245e-01 +3.923355245e-01 -8.817664475e+00 -8.817664475e+00 +4.9994e+00 +4.9911e+00 +4.9539e+00 +4.9735e+00 -4.9789e+00 +4.9833e+00 +4.9728e+00 +4.9986e+00 +4.9949e+00 -4.9949e+00 -4.9996e+00 -4.9931e+00 +4.9965e+00 +4.9978e+00 -4.9981e+00 -4.9989e+00 +4.9974e+00 +4.9984e+00 -4.9982e+00 +4.9985e+00
253549 +2.504134051e-01 +2.504134051e-01 -8.959586595e+00 -8.959586595e+00 +4.9893e+00 +4.9911e+00 +4.9830e+00 +4.9735e+00 -4.9959e+00 +4.9832e+00 +4.9924e+00 +4.9986e+00 +4.9998e+00 -4.9949e+00 -4.9996e+00 -4.9931e+00 +4.9984e+00 +4.9997e+00 -4.9999e+00 -4.9992e+00 +4.9968e+00 +4.9995e+00 -4.9982e+00 +4.9985e+00
282005 +1.441013613e-01 +1.441013613e-01 -9.065898639e+00 -9.065898639e+00 +4.9994e+00 +4.9911e+00 +4.9928e+00 +4.9949e+00 -4.9959e+00 +4.9931e+00 +4.9924e+00 +4.9987e+00 +5.0000e+00 -4.9949e+00 -4.9996e+00 -4.9980e+00 +4.9965e+00 +4.9996e+00 -4.9999e+00 -4.9989e+00 +4.9968e+00 +4.9999e+00 -4.9994e+00 +4.9998e+00
