% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.504250119e+05 +4.504250119e+05 +4.505741619e+05 +4.505741619e+05 +4.6028e-01 +2.6847e+00 -4.4274e+00 +1.7254e+00 -1.5057e+00 +1.3671e+00 +2.7233e+00 +7.9186e-02 -2.2086e+00 +3.2853e+00 +3.0171e-01 +1.1289e+00 -4.6734e+00 +2.3714e+00 +1.7798e+00 -4.9741e+00 -3.0845e-01 -1.6488e+00 +3.1905e+00 -4.7243e+00
2 +1.058804660e+05 +1.058804660e+05 +1.060296160e+05 +1.060296160e+05 -2.6766e+00 -1.1543e+00 -2.3865e+00 -3.7693e+00 -2.0339e+00 -1.4257e+00 -3.5770e+00 -2.8914e+00 +2.1942e+00 -1.5483e+00 -4.4058e+00 -2.8875e+00 +4.1904e+00 +1.7759e+00 +1.0856e+00 -3.0129e+00 -4.4166e+00 +2.4515e+00 -4.0859e+00 +3.5183e+00
99 +6.300475890e+04 +6.300475890e+04 +6.315390890e+04 +6.315390890e+04 +1.6402e+00 -4.7920e+00 -1.5633e+00 +1.9702e+00 -3.1405e+00 -2.7764e+00 +7.9371e-01 -3.2702e+00 -8.9075e-01 -1.0367e+00 -4.5014e+00 +2.5943e+00 +2.4035e+00 -2.2456e+00 -4.9188e-01 -2.3320e+00 +1.0527e+00 -4.0422e+00 -1.7966e+00 +1.0714e+00
7157 +2.988944881e+04 +2.988944881e+04 +3.003859881e+04 +3.003859881e+04 +1.3479e+00 -5.6038e-01 -1.4546e+00 -8.3112e-01 -1.7280e+00 -3.2765e+00 -1.7351e+00 -8.4884e-01 +3.8240e-01 -1.7679e+00 -8.9421e-01 +8.8922e-01 +3.1138e+00 -1.0237e+00 -1.8185e+00 -4.5388e+00 +9.2983e-01 -3.6505e+00 -1.6144e+00 +2.3695e+00
12491 +1.840509041e+04 +1.840509041e+04 +1.855424041e+04 +1.855424041e+04 -1.2739e+00 -4.1895e+00 -2.6377e+00 +3.3641e+00 -3.4024e+00 -7.0163e-01 -1.6189e+00 -1.9403e+00 +3.2118e-01 +1.3641e-02 -2.0121e+00 -3.6211e-01 +1.2921e+00 -2.4197e+00 -2.5477e+00 -3.1924e-01 -3.1624e+00 +7.2809e-01 -8.0152e-01 -1.4448e+00
16049 +1.337246587e+04 +1.337246587e+04 +1.352161587e+04 +1.352161587e+04 -1.5623e+00 -1.2882e+00 -2.3670e+00 +1.5220e+00 -2.7458e+00 -3.2807e+00 -1.2138e+00 -1.5306e+00 -1.5674e-01 -1.2905e+00 -2.9894e+00 +1.8307e+00 +1.3580e+00 -2.4140e+00 +4.6682e-01 -6.0930e-01 +2.0060e+00 -5.1857e-01 -6.5742e-01 +1.6546e+00
21481 +9.199839512e+03 +9.199839512e+03 +9.348989512e+03 +9.348989512e+03 -2.7782e+00 -1.0162e+00 -2.4736e-01 -1.5593e+00 -3.6366e+00 -7.0163e-01 -1.6189e+00 -1.9403e+00 +3.2118e-01 +1.3641e-02 -2.0121e+00 -1.9256e+00 +2.6813e+00 -4.9259e-01 -2.4070e+00 +4.8408e-01 +2.8920e-01 +1.1194e+00 -9.3303e-01 -3.9493e+00
28670 +5.364561830e+03 +5.364561830e+03 +5.513711830e+03 +5.513711830e+03 +4.1566e-01 -2.4048e+00 -3.3942e-01 +9.0708e-01 -3.0498e+00 -4.3777e+00 +1.4306e-02 -1.0916e+00 +3.2118e-01 +1.3641e-02 -2.0121e+00 -3.6211e-01 +2.2580e+00 -7.6541e-01 -2.8315e+00 -2.7000e+00 -1.0827e+00 -1.1976e+00 -3.0156e+00 -1.6410e+00
29567 +3.080215407e+03 +3.080215407e+03 +3.229365407e+03 +3.229365407e+03 -7.3858e-01 -1.9840e-03 -9.3048e-01 +1.4639e+00 -2.8406e+00 -1.1704e+00 -7.3038e-02 -9.1149e-01 -7.9896e-01 +1.0910e+00 -3.0471e+00 -5.4497e-01 +1.2653e+00 -2.1364e+00 -1.4357e+00 -2.7000e+00 -1.0827e+00 -8.3362e-01 -3.7675e+00 -1.8067e+00
35897 +1.720212216e+03 +1.720212216e+03 +1.869362216e+03 +1.869362216e+03 +2.3396e-03 -6.5915e-01 -1.6009e+00 +5.6547e-02 -2.7611e+00 -2.4012e+00 -1.0092e+00 -2.9137e+00 -9.2820e-01 +3.7387e-01 -3.3580e+00 +8.3962e-02 +2.6392e+00 -1.9999e+00 -2.6434e+00 -1.6711e+00 -3.4999e-01 +5.6126e-01 -3.0090e+00 -3.9304e+00
42468 +1.421117984e+03 +1.421117984e+03 +1.570267984e+03 +1.570267984e+03 -1.5623e+00 -1.2882e+00 -2.3670e+00 +1.5220e+00 -3.4250e+00 -3.2064e+00 -1.7691e+00 -1.9403e+00 +3.2118e-01 +1.3641e-02 -2.0121e+00 -3.6218e-01 +1.2921e+00 -2.2349e+00 -1.3794e+00 -6.2729e-01 -1.3027e+00 +7.5415e-01 -2.6046e+00 -4.3280e+00
51880 +8.021653385e+02 +8.021653385e+02 +9.513153385e+02 +9.513153385e+02 +2.4482e-01 -9.2447e-01 -1.1410e+00 +1.9898e+00 -3.1405e+00 -1.2064e+00 -1.6189e+00 -1.9214e+00 -8.9073e-01 -1.0367e+00 -2.0121e+00 +8.3962e-02 +1.2432e+00 -2.3351e+00 -1.0177e+00 -7.9789e-01 +1.3399e-01 +1.2297e+00 -6.9212e-01 -2.3754e-01
60578 +6.128600743e+02 +6.128600743e+02 +7.620100743e+02 +7.620100743e+02 -1.5623e+00 -1.2882e+00 -7.0958e-01 +6.2600e-01 -2.8757e+00 -2.4527e+00 -1.0575e+00 -1.5306e+00 -1.5674e-01 +1.3641e-02 -2.0121e+00 -3.6211e-01 +1.2921e+00 -2.4197e+00 -1.3794e+00 -1.3074e+00 -1.3366e+00 -5.1857e-01 -1.8087e+00 -2.6947e+00
71197 +3.766884515e+02 +3.766884515e+02 +5.258384515e+02 +5.258384515e+02 -2.3704e-01 -3.1188e-01 +8.3911e-02 +1.4639e+00 -2.9187e+00 -1.1705e+00 -8.7451e-01 -1.5306e+00 -1.5674e-01 +1.3641e-02 -2.0121e+00 -3.6211e-01 +2.4143e+00 -7.6541e-01 -1.4357e+00 -1.7146e+00 -9.0213e-01 -8.3347e-01 -3.0156e+00 -4.7595e+00
79084 +2.465906259e+02 +2.465906259e+02 +3.957406259e+02 +3.957406259e+02 -1.5623e+00 -1.2882e+00 -9.2056e-01 +1.4639e+00 -2.8406e+00 -1.1705e+00 -6.9672e-01 -1.5306e+00 -9.2822e-01 +1.3641e-02 -2.3246e+00 -3.6218e-01 +1.8781e+00 -2.2349e+00 -1.4483e+00 -1.3526e+00 -1.0839e+00 -1.8866e-01 -2.6045e+00 -3.6362e+00
92817 +1.552846122e+02 +1.552846122e+02 +3.044346122e+02 +3.044346122e+02 -1.5623e+00 -1.2882e+00 -9.3032e-01 +5.2146e-01 -3.7200e+00 -2.3999e+00 -1.7546e+00 -1.9198e+00 -8.9073e-01 -8.2022e-01 -2.3258e+00 -3.8171e-01 +1.9171e+00 -2.2349e+00 -1.4492e+00 -1.6749e+00 -1.0778e+00 -1.2468e-01 -2.6046e+00 -3.4799e+00
106211 +8.864245259e+01 +8.864245259e+01 +2.377924526e+02 +2.377924526e+02 -1.4744e+00 -1.2882e+00 -9.3032e-01 +7.3984e-01 -3.7200e+00 -2.4781e+00 -1.7351e+00 -2.2335e+00 -8.9073e-01 -4.1165e-01 -2.5229e+00 -4.9873e-02 +1.2921e+00 -1.2050e+00 -1.6896e+00 -1.4084e+00 -1.0778e+00 -1.6941e-01 -2.8719e+00 -3.4799e+00
120450 +6.130410358e+01 +6.130410358e+01 +2.104541036e+02 +2.104541036e+02 -1.5623e+00 -1.2870e+00 -9.1142e-01 +9.0708e-01 -3.5910e+00 -2.1079e+00 -1.7351e+00 -1.9403e+00 -8.9073e-01 -4.1165e-01 -2.5205e+00 -3.6211e-01 +1.6046e+00 -1.3373e+00 -1.3843e+00 -1.3032e+00 -1.0839e+00 -1.8866e-01 -3.0090e+00 -3.9304e+00
135624 +3.931360266e+01 +3.931360266e+01 +1.884636027e+02 +1.884636027e+02 -1.2450e+00 -1.2882e+00 -9.6103e-01 +9.0708e-01 -3.5910e+00 -2.1079e+00 -1.7351e+00 -1.9403e+00 -8.9073e-01 -4.1165e-01 -2.5205e+00 -1.2800e-01 +1.6046e+00 -1.3763e+00 -1.6783e+00 -1.3032e+00 -6.6234e-01 -1.8866e-01 -2.8594e+00 -3.9493e+00
169919 +2.423776245e+01 +2.423776245e+01 +1.733877625e+02 +1.733877625e+02 -7.3858e-01 -1.2833e+00 -9.1631e-01 +9.0708e-01 -3.6419e+00 -2.1656e+00 -1.7351e+00 -2.0776e+00 -8.9317e-01 -4.1165e-01 -2.6011e+00 -1.2796e-01 +1.6827e+00 -1.5326e+00 -1.6782e+00 -1.4183e+00 -9.3600e-01 -4.3718e-01 -2.8528e+00 -3.9108e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.649952606e+05 +5.649952606e+05 +5.639952606e+05 +5.639952606e+05 -6.2794e-01 +3.1413e+00 -1.7037e+00 -7.1708e-01 -2.1981e+00 -4.2609e+00 -4.4976e+00 -3.9743e+00 +1.4339e-01 +5.3357e-01 +2.4736e+00 +1.9813e+00 -4.5415e+00 +3.6292e+00 -3.5954e+00 -2.9633e+00 +4.9711e+00 -4.8061e+00 -6.8242e-02 -2.9992e+00
18 +3.973692153e+05 +3.973692153e+05 +3.963692153e+05 +3.963692153e+05 -2.1215e+00 -4.1226e+00 +3.5380e+00 -3.7573e+00 -4.1325e+00 -3.8726e-01 -3.3446e+00 -1.7057e+00 -1.9187e+00 -4.4072e+00 -4.6859e+00 +3.1758e+00 -4.2380e+00 -3.7066e+00 +4.4614e+00 -4.4212e+00 +1.7416e+00 -1.8719e+00 +7.0230e-01 +4.6422e+00
51 +1.538704757e+05 +1.538704757e+05 +1.528704757e+05 +1.528704757e+05 -4.2915e+00 +1.2367e-02 -6.3770e-01 -3.1008e+00 -3.3684e+00 -4.3516e+00 -4.8579e+00 +1.7572e+00 -1.6581e+00 -3.4278e+00 -8.5603e-01 -3.0406e+00 -3.5060e+00 -3.0097e+00 +3.6001e+00 +7.4992e-01 +1.2198e+00 -2.6148e+00 -2.7395e+00 -4.0551e+00
1471 +7.905376459e+04 +7.905376459e+04 +7.805376459e+04 +7.805376459e+04 -8.2791e-01 -1.8085e+00 +2.9139e+00 -2.8861e+00 -1.2892e+00 +1.9547e+00 +1.9336e-01 -4.6765e+00 +1.9809e-01 +7.9733e-01 -5.1497e-01 +1.6749e+00 -3.7654e+00 -7.6061e-01 -4.8300e-01 -1.2178e+00 +1.1226e+00 -2.0775e+00 -4.2188e+00 -4.8093e+00
3989 +3.063862366e+04 +3.063862366e+04 +2.963862366e+04 +2.963862366e+04 -3.8655e+00 +2.2384e+00 -5.8022e-01 -4.4019e+00 -3.7031e+00 -2.2873e+00 -3.5956e+00 -2.3168e+00 +2.9116e+00 +2.7043e+00 +1.0320e+00 -1.1103e+00 +1.2130e+00 -1.7037e+00 -2.3961e-01 -4.2457e-02 -1.4723e+00 -1.0207e+00 +5.0728e-01 +2.5754e+00
7444 +2.037478305e+04 +2.037478305e+04 +1.937478305e+04 +1.937478305e+04 -3.8655e+00 +2.2384e+00 -5.8022e-01 -4.4019e+00 -3.7031e+00 -2.2873e+00 -3.5956e+00 -2.3168e+00 +1.2739e+00 +3.7573e+00 -3.4051e-01 -9.4805e-01 +1.2130e+00 -1.7037e+00 -2.3961e-01 -4.2457e-02 -1.4723e+00 -1.0207e+00 +5.0728e-01 +2.5754e+00
