% function evaluation | noise-free fitness - Fopt (-2.098800000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.959795346e+007 +2.959795346e+007 +2.959774358e+007 +2.959774358e+007 -3.0874e+000 +9.8836e-001 +4.3394e+000 +1.1537e+000 -4.3911e+000 +1.0135e+000 -1.3894e+000 -1.2585e+000 -1.1572e+000 -7.7703e-001 -2.3348e+000 +2.5341e+000 +1.7597e+000 -3.7391e+000 -1.7008e-001 +2.0358e+000 +3.1722e+000 -4.5563e+000 -2.8622e+000 -1.3723e+000
5 +1.335597060e+007 +1.335597060e+007 +1.335576072e+007 +1.335576072e+007 -3.0785e+000 +2.2159e+000 -2.1108e+000 +2.2702e+000 +3.4778e+000 +1.5954e+000 +4.0098e+000 +7.4239e-001 +4.0148e+000 -1.8054e+000 -4.2308e+000 -1.7327e+000 -2.0459e+000 +5.2795e-001 -7.4000e-001 +1.0944e+000 +4.9061e+000 +4.8577e+000 -3.4937e+000 +3.7651e+000
13 +5.808749592e+006 +5.808749592e+006 +5.808539712e+006 +5.808539712e+006 -2.8529e+000 +2.9714e+000 +4.7610e+000 -1.2694e+000 +3.4504e+000 -1.8435e+000 -1.6571e+000 -3.9820e+000 +4.8759e+000 +3.9178e+000 -2.7234e+000 +2.4480e-001 -3.0007e+000 +4.0244e-002 +1.1718e-001 +2.6843e+000 -3.1780e+000 +1.5021e+000 -2.2842e+000 +3.5759e+000
68 +2.936573117e+006 +2.936573117e+006 +2.936363237e+006 +2.936363237e+006 +2.0705e+000 +3.0949e+000 -5.0000e+000 -2.4271e+000 -1.2076e-001 -1.7618e+000 -3.4046e-002 -6.3038e-001 -5.0000e+000 -8.5381e-001 +1.0543e-001 -1.1450e-001 -3.4828e-001 +1.4782e+000 -2.8995e+000 +4.1083e-001 -3.2323e+000 +4.4006e-001 -2.4862e+000 +2.3479e+000
170 +1.793426046e+006 +1.793426046e+006 +1.793216166e+006 +1.793216166e+006 +0.0000e+000 +1.6548e+000 -2.9649e+000 -3.6615e+000 +0.0000e+000 -2.4992e+000 -1.0421e+000 -3.3675e-001 -5.0000e+000 -3.9878e-001 -6.5782e-001 +0.0000e+000 -9.0814e-001 +1.4586e+000 -7.1164e-001 +4.2833e-001 -4.4069e+000 +2.4588e+000 -2.1843e+000 +1.4773e+000
212 +1.406074896e+006 +1.406074896e+006 +1.405865016e+006 +1.405865016e+006 +3.5119e+000 +3.1879e+000 -4.9580e+000 -1.5723e+000 -1.8677e+000 -5.0000e+000 +3.5189e-001 -6.2078e-001 -3.5063e+000 -2.8799e+000 -5.9108e-001 -1.1793e-001 +6.9920e-001 -3.6516e-001 -5.8944e-001 -2.3228e+000 -2.8066e+000 +4.4671e+000 -1.7846e+000 +2.5750e+000
314 +5.172559513e+005 +5.172559513e+005 +5.170460713e+005 +5.170460713e+005 +3.0171e+000 +5.0000e+000 -4.7247e+000 -3.9658e+000 -4.1423e+000 -2.9595e+000 -3.5639e-001 -1.8465e+000 -4.0390e+000 -2.3193e+000 +1.3381e+000 +5.0000e+000 +3.0646e+000 +3.2232e+000 -1.8956e+000 -3.5258e+000 -4.1004e+000 +3.3964e+000 -2.1561e+000 +1.9293e+000
483 +3.091774791e+005 +3.091774791e+005 +3.089675991e+005 +3.089675991e+005 -1.0704e+000 +4.5962e+000 -3.1194e+000 -4.2692e+000 -3.0186e+000 -3.3948e+000 -1.6562e+000 -3.9687e+000 -4.1236e+000 -2.9342e+000 +1.8115e+000 +2.3521e+000 +3.7325e-001 -2.0065e+000 -2.3302e+000 -4.1983e+000 -3.7795e+000 +2.8209e+000 -2.1951e+000 +2.2125e+000
538 +1.401185325e+005 +1.401185325e+005 +1.399086525e+005 +1.399086525e+005 -1.2428e+000 +2.9294e+000 -3.1654e+000 -3.6313e+000 -4.3116e+000 -2.9934e+000 -7.8957e-001 -3.2267e+000 -3.9883e+000 -2.0258e+000 +1.3135e+000 +4.4143e+000 +7.6040e-001 -7.4880e-001 -2.1614e+000 -3.8118e+000 -3.2009e+000 +2.9456e+000 -2.4797e+000 +1.8322e+000
1076 +6.504338193e+004 +6.504338193e+004 +6.483350193e+004 +6.483350193e+004 -7.1080e-001 +3.7283e+000 -2.8068e+000 -3.2332e+000 -4.6363e+000 -3.2393e+000 -2.1253e+000 -2.5718e+000 -4.2005e+000 -1.9098e+000 +1.2475e+000 +3.7593e+000 +2.6786e+000 -1.1848e+000 -1.6032e+000 -3.8036e+000 -3.0935e+000 +2.8622e+000 -2.4522e+000 +1.9631e+000
1156 +5.306453424e+004 +5.306453424e+004 +5.285465424e+004 +5.285465424e+004 -1.1195e+000 +3.5313e+000 -2.8701e+000 -3.2366e+000 -4.6214e+000 -3.2624e+000 -2.5992e+000 -1.5103e+000 -4.3586e+000 -3.5180e-001 +1.2780e+000 +3.7380e+000 +3.0503e+000 -1.0576e+000 -1.7896e+000 -3.5768e+000 -3.0953e+000 +2.8663e+000 -2.4157e+000 +1.9696e+000
1185 +3.677510213e+004 +3.677510213e+004 +3.656522213e+004 +3.656522213e+004 -1.2473e+000 +3.6254e+000 -2.9066e+000 -3.8153e+000 -4.6305e+000 -2.7513e+000 -3.0276e+000 -9.4364e-001 -2.8694e+000 -6.9310e-001 +2.0676e-001 +1.9768e+000 +3.0811e+000 -1.2844e+000 -1.7061e+000 -3.5163e+000 -2.9038e+000 +3.0496e+000 -2.2542e+000 +1.9785e+000
1495 +2.374554064e+004 +2.374554064e+004 +2.353566064e+004 +2.353566064e+004 -1.4835e+000 +3.7144e+000 -2.6838e+000 -2.6836e+000 -1.6279e+000 -2.7832e+000 -2.7897e+000 +2.5707e+000 -3.1938e+000 -3.5803e-001 +5.8258e-001 +6.1463e-001 +3.9519e+000 -1.3539e+000 -1.9322e+000 -3.7190e+000 -3.1919e+000 +3.0381e+000 -2.3303e+000 +1.9437e+000
1646 +1.536747451e+004 +1.536747451e+004 +1.515759451e+004 +1.515759451e+004 -1.5013e+000 +3.2937e+000 -2.3519e+000 -2.8537e+000 -3.1687e+000 -2.8342e+000 -3.0381e+000 +2.5216e-001 -3.3263e+000 -1.1388e-001 +3.3981e-001 +1.5087e+000 +3.8412e+000 -1.6387e+000 -1.5936e+000 -3.6832e+000 -3.0666e+000 +3.1221e+000 -2.3104e+000 +1.9418e+000
2967 +8.306695725e+003 +8.306695725e+003 +8.096815725e+003 +8.096815725e+003 -1.6144e+000 +3.3150e+000 -1.8967e+000 -2.4329e+000 -4.0480e+000 -1.8224e+000 -1.2494e+000 +4.5446e-001 -3.7434e+000 +2.6237e+000 -4.1846e-002 +2.1839e+000 +3.9116e+000 -1.3326e+000 -1.4820e+000 -3.7947e+000 -3.0502e+000 +3.0555e+000 -2.3992e+000 +1.8987e+000
3447 +4.976290425e+003 +4.976290425e+003 +4.766410425e+003 +4.766410425e+003 -1.4638e+000 +4.2305e+000 -1.1537e+000 -2.3098e+000 -5.5613e-001 -4.5960e-001 +1.8954e+000 -2.9117e-001 -2.8228e+000 +1.9324e+000 +5.6236e-001 +8.4431e-001 +4.2257e+000 -1.3668e+000 -1.4972e+000 -3.7337e+000 -3.0512e+000 +3.0794e+000 -2.3845e+000 +1.8921e+000
3754 +3.816657853e+003 +3.816657853e+003 +3.606777853e+003 +3.606777853e+003 -1.3017e+000 +1.5332e+000 -2.1021e+000 -1.8404e+000 -9.3881e-001 -1.3350e+000 +1.3519e+000 -1.3088e+000 -2.9834e+000 +2.7896e+000 +1.0493e+000 +1.5159e+000 +3.7682e+000 -1.3921e+000 -1.5049e+000 -3.6950e+000 -3.0960e+000 +3.0746e+000 -2.3977e+000 +1.9344e+000
4207 +2.461099182e+003 +2.461099182e+003 +2.251219182e+003 +2.251219182e+003 -1.2388e+000 -7.4294e-001 -7.2641e-001 -1.2497e+000 +2.6497e+000 -4.2391e-001 +1.1369e+000 +2.9328e-001 -2.2070e+000 +3.2338e+000 +1.1503e+000 +1.3659e+000 +4.1825e+000 -1.4560e+000 -1.5817e+000 -3.7037e+000 -3.0509e+000 +3.0470e+000 -2.3947e+000 +1.9149e+000
