% function evaluation | noise-free fitness - Fopt (3.590000000000e+001) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.768379404e+006 +1.768379404e+006 +1.768415304e+006 +1.768415304e+006 +4.8145e+000 +2.2808e+000 -3.6591e+000 -1.5965e+000 +3.8466e-001 +3.8740e+000 -7.4028e-001 -1.5092e+000 -9.8072e-001 +3.1401e+000 +3.8057e+000 +2.2363e+000 +4.4754e+000 +2.8345e+000 +4.0354e+000 +4.3363e+000 -1.4183e+000 -2.1072e-001 -4.1555e+000 -4.3077e+000
2 +5.814485336e+005 +5.814485336e+005 +5.814844336e+005 +5.814844336e+005 +3.9664e+000 +9.9838e-001 +3.1442e+000 +2.6179e+000 -4.4833e+000 +3.9878e+000 +4.5975e+000 -1.4705e+000 -8.6056e-001 -1.1189e+000 -3.9746e+000 -1.7346e+000 -3.5039e+000 -1.2904e+000 +4.5713e+000 -2.9021e+000 -3.9157e-001 +1.9418e+000 +1.4222e+000 +4.6518e+000
57 +2.687067321e+005 +2.687067321e+005 +2.687426321e+005 +2.687426321e+005 -5.1743e-001 +5.6364e-001 +4.0775e+000 -3.7939e+000 -2.6531e+000 -2.1930e+000 -1.0125e+000 +2.9948e-001 +3.2349e+000 -1.4412e+000 -5.0000e+000 -5.0000e+000 -1.7218e+000 +2.5870e-001 +4.3060e+000 -5.0000e+000 +4.9950e-001 +5.0000e+000 -4.5828e+000 -2.3421e+000
147 +1.298209154e+005 +1.298209154e+005 +1.298568154e+005 +1.298568154e+005 -3.8180e-001 +9.4814e-001 +4.0600e+000 -1.2442e+000 -2.3296e+000 -2.9225e+000 -2.8222e+000 -1.5273e+000 -2.8089e+000 -4.7633e+000 -5.0000e+000 -4.8249e+000 +1.3667e+000 -3.1015e+000 +4.0337e+000 -5.0000e+000 +7.9963e-001 +5.0000e+000 -5.0000e+000 -3.2047e+000
163 +9.227855415e+004 +9.227855415e+004 +9.231445415e+004 +9.231445415e+004 -9.4300e-001 +4.9882e+000 +3.9283e+000 -3.3216e-001 -2.4465e+000 -5.0000e+000 -1.9099e+000 -7.7484e-001 -1.0706e-002 -5.0000e+000 -5.0000e+000 -4.9052e+000 +7.3695e-001 -2.1876e+000 +3.6089e+000 -5.0000e+000 -5.8898e-001 +5.0000e+000 -5.0000e+000 -2.8450e+000
252 +4.637530075e+004 +4.637530075e+004 +4.641120075e+004 +4.641120075e+004 +1.7050e+000 +5.0249e-001 +3.0015e+000 +4.4812e+000 -2.4680e+000 -3.7272e+000 -1.8355e+000 -4.3717e+000 -7.6961e-001 -2.7386e+000 -5.0000e+000 -2.2732e+000 +1.7244e+000 -7.6403e-001 +2.8181e+000 -5.0000e+000 +3.5809e-001 +5.0000e+000 -1.8256e+000 -3.0902e+000
311 +3.820249887e+004 +3.820249887e+004 +3.823839887e+004 +3.823839887e+004 +1.5773e+000 +5.5251e-001 +2.4717e+000 +5.0000e+000 -2.5243e+000 -3.4598e+000 -1.6709e+000 -3.3912e+000 -2.4715e+000 -3.9167e+000 -5.0000e+000 -2.2018e+000 -1.3212e-002 -2.3366e+000 +2.8874e+000 -5.0000e+000 -6.1055e-001 +5.0000e+000 -2.9120e+000 -2.1710e+000
417 +1.251721698e+004 +1.251721698e+004 +1.255311698e+004 +1.255311698e+004 +1.8226e-001 +2.8108e+000 +4.3986e+000 +4.2442e+000 -4.5568e+000 -5.0000e+000 -1.0652e+000 -3.6071e+000 +1.1943e+000 -5.0000e+000 -5.0000e+000 -5.0000e+000 -1.5206e+000 -2.3619e+000 +3.5209e+000 -5.0000e+000 -1.2617e+000 +5.0000e+000 -3.3276e+000 -3.1565e+000
445 +7.288412609e+003 +7.288412609e+003 +7.324312609e+003 +7.324312609e+003 +1.2470e+000 +4.1853e+000 +5.0000e+000 +3.9269e+000 -5.0000e+000 -5.0000e+000 -1.3449e+000 -3.7681e+000 +7.0677e-001 -4.4629e+000 -4.7541e+000 -4.8769e+000 -1.4185e+000 -5.0000e+000 +1.6585e+000 -4.6023e+000 -1.0256e+000 +5.0000e+000 -1.9496e+000 -3.2431e+000
494 +3.123997460e+003 +3.123997460e+003 +3.159897460e+003 +3.159897460e+003 +1.4423e+000 +4.2590e+000 +3.5583e+000 +4.0332e+000 -4.1324e+000 -5.0000e+000 -1.8882e+000 -3.8642e+000 +4.6257e-001 -2.5796e+000 -4.7982e+000 -2.8750e+000 -1.9093e+000 -4.7385e+000 +1.1722e+000 -4.9656e+000 -8.9151e-001 +5.0000e+000 -8.3783e-001 -2.5169e+000
593 +1.192071723e+003 +1.192071723e+003 +1.227971723e+003 +1.227971723e+003 +2.5943e+000 +4.7436e+000 +3.4624e+000 +3.8813e+000 -4.5384e+000 -5.0000e+000 -1.5542e+000 -3.6475e+000 +6.2463e-001 -2.7262e+000 -4.7659e+000 -3.4986e+000 -2.2495e+000 -5.0000e+000 +6.6471e-001 -4.9092e+000 -7.6398e-001 +5.0000e+000 -1.4244e+000 -2.4147e+000
716 +7.893336981e+002 +7.893336981e+002 +8.252336981e+002 +8.252336981e+002 +1.7704e+000 +4.4924e+000 +4.4457e+000 +3.9622e+000 -4.8086e+000 -3.9424e+000 -1.2107e+000 -3.6507e+000 -1.1863e+000 -3.2179e+000 -4.6505e+000 -3.7153e+000 -2.3837e+000 -4.9943e+000 +1.5829e+000 -4.8376e+000 -9.0332e-001 +5.0000e+000 -6.8011e-001 -2.7839e+000
818 +3.813669533e+002 +3.813669533e+002 +4.172669533e+002 +4.172669533e+002 +1.5621e+000 +4.5984e+000 +4.7984e+000 +4.0252e+000 -4.8322e+000 -4.0154e+000 -1.8215e+000 -3.8093e+000 -1.7743e+000 -2.4125e+000 -4.4836e+000 -3.2202e+000 -1.0995e+000 -4.9937e+000 +1.5503e+000 -4.8576e+000 -7.1070e-001 +5.0000e+000 -9.3285e-001 -2.7029e+000
908 +1.155759976e+002 +1.155759976e+002 +1.514759976e+002 +1.514759976e+002 +1.6385e+000 +4.4143e+000 +4.6529e+000 +4.0328e+000 -4.7275e+000 -4.7668e+000 -1.6199e+000 -3.7416e+000 -1.6108e+000 -1.0103e+000 -4.6521e+000 -2.0233e+000 -2.0496e+000 -4.9876e+000 +1.1101e+000 -4.2789e+000 -5.2706e-001 +5.0000e+000 -6.6568e-001 -2.1552e+000
1644 +9.988691183e+001 +9.988691183e+001 +1.357869118e+002 +1.357869118e+002 +2.1999e+000 +3.2719e+000 +4.3706e+000 +4.1039e+000 -4.2270e+000 -4.6177e+000 -2.1099e+000 -3.4940e+000 -1.3646e+000 -3.2055e+000 -4.2465e+000 -3.0456e+000 -1.6815e+000 -4.7984e+000 +1.5107e+000 -3.6059e+000 +5.9875e-002 +5.0000e+000 -5.4013e-001 -2.8215e+000
4251 +6.165651226e+001 +6.165651226e+001 +9.755651226e+001 +9.755651226e+001 +2.6056e+000 +3.3300e+000 +4.8535e+000 +4.0644e+000 -3.3891e+000 -4.0145e+000 -3.3543e+000 -3.8876e+000 -3.6467e+000 -2.8909e+000 -3.2818e+000 -1.3862e+000 -1.1189e+000 -4.0956e+000 +2.3775e+000 -3.9918e+000 -3.2290e-002 +5.0000e+000 -1.2428e-001 -2.8604e+000
